source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,,2019-02-05,The decision is OURS to make.,171K,132K,876,37K,167,24,74,8910,/story.php?story_fbid=10162124020205725&id=153080620724
Donald J. Trump,,2019-02-06,I am asking you to CHOOSE GREATNESS!,42K,32K,533,8.7K,56,14,43,3975,/story.php?story_fbid=10162126278505725&id=153080620724
Donald J. Trump,,2019-02-05,"""By the end of next year, NATO allies will add $100 billion extra toward defense...President Donald Trump is having an impact.”",Aric Chen 曉天 and 30K others,26K,485,3.2K,141,17,57,1815,/story.php?story_fbid=10162120806590725&id=153080620724
Donald J. Trump,,2019-02-05,The American economy is stronger than ever. We have some of the BEST employment numbers in the HISTORY of our country!,22K,18K,351,3.5K,46,5,35,2418,/story.php?story_fbid=10162121608470725&id=153080620724
Donald J. Trump,,2019-02-05,LIVE: President Trump's State of The Union,130K,78K,1.1K,50K,287,186,739,85572,/story.php?story_fbid=1889099687884407&id=153080620724
Donald J. Trump,,2019-02-05,LIVE: President Trump's State of the Union Address,76K,45K,744,29K,157,86,454,35483,/story.php?story_fbid=303841417150497&id=153080620724
Donald J. Trump,,2019-02-05,Looking forward to tonight! #SOTU,26K,21K,620,4.9K,56,11,55,3714,/story.php?story_fbid=10162122680265725&id=153080620724
"Donald J. Trump,The White House",The White House,2019-02-08,"We must choose between GREATNESS or gridlock.""I ask you to choose greatness.""",26K,21K,311,4K,32,6,28,1879,/story.php?story_fbid=10162133793040725&id=153080620724
Donald J. Trump,,2019-02-04,Let's get the JOB DONE!,14K,11K,320,2.2K,23,3,36,1898,/story.php?story_fbid=10162103943600725&id=153080620724
Donald J. Trump,,2019-02-04,"""The Trump administration’s support of the pro-democracy movement reassures Venezuelans and our allies that America first doesn’t mean America alone.” - Senior Advisor John Pence",20K,18K,656,2K,86,9,103,1912,/story.php?story_fbid=10162117810295725&id=153080620724
Donald J. Trump,,2019-02-04,Nancy Pelosi doesn’t want to give proper border security for political reasons. She's doing a terrible disservice to the people of our country!,35K,30K,568,3.1K,120,252,547,4940,/story.php?story_fbid=10162117385810725&id=153080620724
Donald J. Trump,,2019-02-04,This is an invasion of our country. We need a WALL!,37K,31K,765,4.9K,70,24,97,4814,/story.php?story_fbid=10162117339785725&id=153080620724
Donald J. Trump,,2019-02-05,Tune in at 9pm EST tonight as I deliver the State of the Union Address! Add your name to be displayed LIVE during my speech: bit.ly/2MOxkbj,42K,35K,663,6.6K,59,16,83,5561,/story.php?story_fbid=10162120925020725&id=153080620724
Donald J. Trump,,2019-02-04,"Our economy is exceeding expectations – unprecedented job growth, historically low unemployment, and rising wages. MAGA!",27K,22K,477,4.2K,128,8,39,2535,/story.php?story_fbid=10162117157255725&id=153080620724
Donald J. Trump,,2019-02-04,"Tomorrow night I will address the nation, sharing my vision for a safer, stronger, and more prosperous America!",25K,21K,479,3.7K,36,16,62,2578,/story.php?story_fbid=10162116799420725&id=153080620724
Donald J. Trump,,2019-02-02,"Only fools, or people with a political agenda, don’t want a wall to protect our country from drugs, crime, and human trafficking. It will happen – it always does!",23K,20K,590,2.4K,59,27,81,3225,/story.php?story_fbid=10162104267805725&id=153080620724
Donald J. Trump,,2019-02-03,"The motto is, “In God We Trust.”",42K,34K,596,7.9K,58,19,62,4583,/story.php?story_fbid=10162103858055725&id=153080620724
Donald J. Trump,,2019-02-03,Tune in to hear how I am fighting for you!,23K,19K,620,3.4K,39,12,56,2711,/story.php?story_fbid=10162108946940725&id=153080620724
Donald J. Trump,,2019-02-02,Only through UNITY can we deliver for the people we were elected to serve!,25K,20K,378,3.9K,35,10,46,2624,/story.php?story_fbid=10162104039670725&id=153080620724
Donald J. Trump,,2019-02-01,"Best January for the DOW in over 30 years. We have, by far, the STRONGEST economy in the world!",58K,48K,879,8.6K,208,10,54,4357,/story.php?story_fbid=10162103644005725&id=153080620724
Donald J. Trump,,2019-02-02,This isn’t about technology and this isn’t about politics. This is about practicality and SECURITY for our nation!,46K,39K,631,5.9K,79,29,105,4614,/story.php?story_fbid=10162099133595725&id=153080620724
Donald J. Trump,,2019-02-01,"JOBS, JOBS, JOBS!",79K,68K,977,9K,372,13,44,3888,/story.php?story_fbid=10162102829890725&id=153080620724
Donald J. Trump,,2019-01-31,"In 5 days, I'm bringing my message straight to YOU.",23K,18K,421,4.3K,33,9,53,3568,/story.php?story_fbid=10162099461580725&id=153080620724
Donald J. Trump,,2019-01-31,These are the consequences of our broken immigration system.,27K,22K,309,1.4K,393,399,2K,3644,/story.php?story_fbid=10162098323935725&id=153080620724
Donald J. Trump,,2019-02-01,"America First doesn’t mean America alone. Venezuela, we are with you!",19K,16K,432,2.6K,59,18,84,1978,/story.php?story_fbid=10162102301105725&id=153080620724
Donald J. Trump,,2019-02-01,The media continue to prove themselves as the true ENEMY OF THE PEOPLE!,26K,23K,814,1.5K,161,221,344,3329,/story.php?story_fbid=10162093394125725&id=153080620724
